"acq_date","acq_hour","areaid","collar_id","animaltype"
20170331,21,27,21917,"Moose"
20170331,22,27,21917,"Moose"
20170331,23,31,21917,"Moose"
20170401,0,31,21917,"Moose"
20170401,1,31,21917,"Moose"
20170401,2,31,21917,"Moose"
20170401,3,31,21917,"Moose"
20170401,4,31,21917,"Moose"
20170401,5,24,21917,"Moose"
20170401,6,27,21917,"Moose"
20170401,7,27,21917,"Moose"
20170401,8,27,21917,"Moose"
20170401,9,27,21917,"Moose"
20170401,10,27,21917,"Moose"
20170401,11,27,21917,"Moose"
20170401,12,27,21917,"Moose"
20170401,13,27,21917,"Moose"
20170401,14,27,21917,"Moose"
20170401,15,27,21917,"Moose"
20170401,16,27,21917,"Moose"
20170401,17,27,21917,"Moose"
20170401,18,27,21917,"Moose"
20170401,19,27,21917,"Moose"
20170401,20,27,21917,"Moose"
20170401,21,27,21917,"Moose"
20170401,22,27,21917,"Moose"
20170401,23,27,21917,"Moose"
20170402,0,27,21917,"Moose"
20170402,1,27,21917,"Moose"
20170402,2,27,21917,"Moose"
20170402,3,27,21917,"Moose"
20170402,4,27,21917,"Moose"
20170402,5,27,21917,"Moose"
20170402,6,27,21917,"Moose"
20170402,7,27,21917,"Moose"
20170402,8,27,21917,"Moose"
20170402,9,27,21917,"Moose"
20170402,10,27,21917,"Moose"
20170402,11,27,21917,"Moose"
20170402,12,27,21917,"Moose"
20170402,13,27,21917,"Moose"
20170402,14,27,21917,"Moose"
20170402,15,27,21917,"Moose"
20170402,16,27,21917,"Moose"
20170402,17,27,21917,"Moose"
20170402,18,27,21917,"Moose"
20170402,19,27,21917,"Moose"
20170402,20,27,21917,"Moose"
20170402,21,27,21917,"Moose"
20170402,22,27,21917,"Moose"
20170402,23,27,21917,"Moose"
20170403,0,27,21917,"Moose"
20170403,1,27,21917,"Moose"
20170403,2,24,21917,"Moose"
20170403,3,27,21917,"Moose"
20170403,4,27,21917,"Moose"
20170403,5,27,21917,"Moose"
20170403,6,27,21917,"Moose"
20170403,7,27,21917,"Moose"
20170403,8,27,21917,"Moose"
20170403,9,27,21917,"Moose"
20170403,10,27,21917,"Moose"
20170403,11,27,21917,"Moose"
20170403,12,27,21917,"Moose"
20170403,13,27,21917,"Moose"
20170403,14,27,21917,"Moose"
20170403,15,27,21917,"Moose"
20170403,16,27,21917,"Moose"
20170403,17,27,21917,"Moose"
20170403,18,27,21917,"Moose"
20170403,19,27,21917,"Moose"
20170403,20,27,21917,"Moose"
20170403,21,27,21917,"Moose"
20170403,22,27,21917,"Moose"
20170403,23,27,21917,"Moose"
20170404,0,27,21917,"Moose"
